day,stage,artist,start_time,end_time
2026-05-23,Beach Stage,lizy,13:00,14:30
2026-05-23,Beach Stage,AMRITA,14:30,16:15
2026-05-23,Beach Stage,STEREOCLIP live,16:15,18:00
2026-05-23,Beach Stage,Ry x dj set,18:00,20:00
2026-05-23,Beach Stage,KOROLOVA,20:00,22:00
2026-05-23,Beach Stage,MATHAME,22:00,00:00
2026-05-23,Digital Stage,EMMA NEIL,13:00,14:00
2026-05-23,Digital Stage,RIN LA DALLE,14:00,15:00
2026-05-23,Digital Stage,MARION DI NAPOLI,15:00,16:30
2026-05-23,Digital Stage,CARA ELIZABETH b2b BEROU,16:30,18:30
2026-05-23,Digital Stage,PANTEROS666,18:30,20:00
2026-05-23,Digital Stage,BEN HEMSLEY,20:00,21:30
2026-05-23,Digital Stage,AcidPauli live,21:30,22:30
2026-05-23,Digital Stage,REINIER ZONNEVELD live,22:30,00:00
2026-05-23,Digital Stage,VORTEK'S,00:00,01:15
2026-05-23,Digital Stage,KX CHR,01:15,02:45
2026-05-23,Digital Stage,CARLA SCHMITT,02:45,04:00
2026-05-23,Digital Stage,NIKOLINA,04:00,05:00
2026-05-23,La Kasbah,MO LAADJAL,13:00,14:00
2026-05-23,La Kasbah,MOON,14:00,15:30
2026-05-23,La Kasbah,CRÂNE DE POULE live,15:30,17:15
2026-05-23,La Kasbah,LAURA DE GREEF,17:15,19:00
2026-05-23,La Kasbah,MIURA,19:00,21:00
2026-05-23,La Kasbah,MARSOLO,21:00,23:00
2026-05-23,La Kasbah,NIC FANCIULLI,23:00,01:00
2026-05-23,La Kasbah,DENNIS CRUZ,01:00,03:00
2026-05-23,La Kasbah,IAMBACK,03:00,05:00
2026-05-23,La Pampa,SIBIL,13:00,15:30
2026-05-23,La Pampa,POGGIO,15:30,17:00
2026-05-23,La Pampa,DOUDOU MD,17:00,18:45
2026-05-23,La Pampa,JANERET,18:45,20:30
2026-05-23,La Pampa,PAULA TAPE,20:30,22:30
2026-05-23,La Pampa,NARCISS,22:30,00:30
2026-05-23,La Pampa,KIROLLUS,00:30,04:00
2026-05-24,Beach Stage,MELITTAH,13:00,14:30
2026-05-24,Beach Stage,AMOUR PROPRE,14:30,16:30
2026-05-24,Beach Stage,FIONA KRAFT,16:30,18:30
2026-05-24,Beach Stage,MONT ROUGE,18:30,20:30
2026-05-24,Beach Stage,MANDRAGORA,20:30,22:30
2026-05-24,Beach Stage,PERCEVAL,22:30,00:00
2026-05-24,Digital Stage,ELKAT,13:00,14:00
2026-05-24,Digital Stage,AKI,14:00,16:00
2026-05-24,Digital Stage,VANILLE,16:00,18:00
2026-05-24,Digital Stage,PRADA2000,18:00,20:00
2026-05-24,Digital Stage,MISCHLUFT,20:00,21:45
2026-05-24,Digital Stage,FUTURE.666,21:45,23:30
2026-05-24,Digital Stage,PATRICK MASON,23:30,01:30
2026-05-24,Digital Stage,FATIMA HAJJI B2B ANXHELA,01:30,03:30
2026-05-24,Digital Stage,TODIEFOR,03:30,05:00
2026-05-24,La Kasbah,ALICE YOUNGLING,13:00,14:30
2026-05-24,La Kasbah,POFIO,14:30,16:00
2026-05-24,La Kasbah,RAW MAIN,16:00,17:30
2026-05-24,La Kasbah,YAMAGUCCI,17:30,19:30
2026-05-24,La Kasbah,LIVA K,19:30,21:30
2026-05-24,La Kasbah,ILARIO ALICANTE,21:30,23:30
2026-05-24,La Kasbah,WADE,23:30,01:30
2026-05-24,La Kasbah,BAD BOOMBOX,01:30,03:30
2026-05-24,La Kasbah,THURMAN,03:30,05:00
2026-05-24,La Pampa,GASPERO,13:00,14:00
2026-05-24,La Pampa,DOMI,14:00,15:30
2026-05-24,La Pampa,FOREST,15:30,17:00
2026-05-24,La Pampa,VITALINE,17:00,18:30
2026-05-24,La Pampa,KICHTA,18:30,20:00
2026-05-24,La Pampa,DJ SCHNAKE,20:00,21:30
2026-05-24,La Pampa,DURDENHAUER,21:30,23:00
2026-05-24,La Pampa,MATRAKK,23:00,00:30
2026-05-24,La Pampa,OXIA,00:30,02:15
2026-05-24,La Pampa,HORS-SOL DJ ACT,02:15,04:00
